date,home.team,home.score,away.team,away.score
14/01/2019,Sociedad,3,Espanol,2
18/01/2019,Getafe,4,Alaves,0
19/01/2019,Celta,1,Valencia,2
19/01/2019,Huesca,0,Ath Madrid,3
19/01/2019,Real Madrid,2,Sevilla,0
20/01/2019,Barcelona,3,Leganes,1
20/01/2019,Betis,3,Girona,2
20/01/2019,Levante,2,Valladolid,0
20/01/2019,Vallecano,2,Sociedad,2
20/01/2019,Villarreal,1,Ath Bilbao,1
21/01/2019,Eibar,3,Espanol,0
26/01/2019,Ath Madrid,2,Getafe,0
26/01/2019,Leganes,2,Eibar,2
26/01/2019,Sevilla,5,Levante,0
26/01/2019,Valencia,3,Villarreal,0
27/01/2019,Ath Bilbao,1,Betis,0
27/01/2019,Espanol,2,Real Madrid,4
27/01/2019,Girona,0,Barcelona,2
27/01/2019,Sociedad,0,Huesca,0
27/01/2019,Valladolid,2,Celta,1
28/01/2019,Alaves,0,Vallecano,1
01/02/2019,Huesca,4,Valladolid,0
02/02/2019,Barcelona,2,Valencia,2
02/02/2019,Celta,1,Sevilla,0
02/02/2019,Levante,0,Getafe,0
02/02/2019,Sociedad,2,Ath Bilbao,1
03/02/2019,Betis,1,Ath Madrid,0
03/02/2019,Eibar,3,Girona,0
03/02/2019,Real Madrid,3,Alaves,0
03/02/2019,Villarreal,2,Espanol,2
04/02/2019,Vallecano,1,Leganes,2
08/02/2019,Valladolid,0,Villarreal,0
09/02/2019,Ath Madrid,1,Real Madrid,3
09/02/2019,Espanol,2,Vallecano,1
09/02/2019,Getafe,3,Celta,1
09/02/2019,Girona,0,Huesca,2
10/02/2019,Ath Bilbao,0,Barcelona,0
10/02/2019,Leganes,3,Betis,0
10/02/2019,Sevilla,2,Eibar,2
10/02/2019,Valencia,0,Sociedad,0
11/02/2019,Alaves,2,Levante,0
15/02/2019,Eibar,2,Getafe,2
16/02/2019,Barcelona,1,Valladolid,0
16/02/2019,Celta,1,Levante,4
16/02/2019,Sociedad,3,Leganes,0
16/02/2019,Vallecano,0,Ath Madrid,1
17/02/2019,Betis,1,Alaves,1
17/02/2019,Real Madrid,1,Girona,2
17/02/2019,Valencia,0,Espanol,0
17/02/2019,Villarreal,3,Sevilla,0
18/02/2019,Huesca,0,Ath Bilbao,1
22/02/2019,Espanol,1,Huesca,1
23/02/2019,Alaves,0,Celta,0
23/02/2019,Ath Bilbao,1,Eibar,0
23/02/2019,Getafe,2,Vallecano,1
23/02/2019,Sevilla,2,Barcelona,4
24/02/2019,Ath Madrid,2,Villarreal,0
24/02/2019,Leganes,1,Valencia,1
24/02/2019,Levante,1,Real Madrid,2
24/02/2019,Valladolid,0,Betis,2
25/02/2019,Girona,0,Sociedad,0
01/03/2019,Vallecano,0,Girona,2
02/03/2019,Espanol,3,Valladolid,1
02/03/2019,Huesca,2,Sevilla,1
02/03/2019,Real Madrid,0,Barcelona,1
02/03/2019,Villarreal,1,Alaves,2
03/03/2019,Betis,1,Getafe,2
03/03/2019,Eibar,1,Celta,0
03/03/2019,Sociedad,0,Ath Madrid,2
03/03/2019,Valencia,2,Ath Bilbao,0
04/03/2019,Leganes,1,Levante,0
08/03/2019,Ath Bilbao,1,Espanol,1
09/03/2019,Alaves,1,Eibar,1
09/03/2019,Ath Madrid,1,Leganes,0
09/03/2019,Barcelona,3,Vallecano,1
09/03/2019,Getafe,2,Huesca,1
10/03/2019,Celta,0,Betis,1
10/03/2019,Girona,2,Valencia,3
10/03/2019,Levante,0,Villarreal,2
10/03/2019,Sevilla,5,Sociedad,2
10/03/2019,Valladolid,1,Real Madrid,4
15/03/2019,Sociedad,1,Levante,1
16/03/2019,Ath Bilbao,2,Ath Madrid,0
16/03/2019,Huesca,1,Alaves,3
16/03/2019,Leganes,0,Girona,2
16/03/2019,Real Madrid,2,Celta,0
17/03/2019,Betis,1,Barcelona,4
17/03/2019,Eibar,1,Valladolid,2
17/03/2019,Espanol,0,Sevilla,1
17/03/2019,Valencia,0,Getafe,0
17/03/2019,Villarreal,3,Vallecano,1
29/03/2019,Girona,1,Ath Bilbao,2
30/03/2019,Alaves,0,Ath Madrid,4
30/03/2019,Barcelona,2,Espanol,0
30/03/2019,Celta,3,Villarreal,2
30/03/2019,Getafe,0,Leganes,2
31/03/2019,Levante,2,Eibar,2
31/03/2019,Real Madrid,3,Huesca,2
31/03/2019,Sevilla,0,Valencia,1
31/03/2019,Valladolid,1,Sociedad,1
31/03/2019,Vallecano,1,Betis,1
02/04/2019,Ath Madrid,2,Girona,0
02/04/2019,Espanol,1,Getafe,1
02/04/2019,Villarreal,4,Barcelona,4
03/04/2019,Ath Bilbao,3,Levante,2
03/04/2019,Eibar,2,Vallecano,1
03/04/2019,Huesca,3,Celta,3
03/04/2019,Valencia,2,Real Madrid,1
04/04/2019,Leganes,1,Valladolid,0
04/04/2019,Sevilla,2,Alaves,0
04/04/2019,Sociedad,2,Betis,1
06/04/2019,Barcelona,2,Ath Madrid,0
06/04/2019,Girona,1,Espanol,2
06/04/2019,Real Madrid,2,Eibar,1
06/04/2019,Vallecano,2,Valencia,0
07/04/2019,Alaves,1,Leganes,1
07/04/2019,Betis,2,Villarreal,1
07/04/2019,Celta,3,Sociedad,1
07/04/2019,Getafe,1,Ath Bilbao,0
07/04/2019,Levante,2,Huesca,2
07/04/2019,Valladolid,0,Sevilla,2
13/04/2019,Ath Madrid,2,Celta,0
13/04/2019,Espanol,2,Alaves,1
13/04/2019,Huesca,0,Barcelona,0
13/04/2019,Sevilla,3,Betis,2
14/04/2019,Ath Bilbao,3,Vallecano,2
14/04/2019,Girona,0,Villarreal,1
14/04/2019,Sociedad,1,Eibar,1
14/04/2019,Valencia,3,Levante,1
14/04/2019,Valladolid,2,Getafe,2
15/04/2019,Leganes,1,Real Madrid,1
19/04/2019,Alaves,2,Valladolid,2
20/04/2019,Barcelona,2,Sociedad,1
20/04/2019,Celta,2,Girona,1
20/04/2019,Eibar,0,Ath Madrid,1
20/04/2019,Vallecano,0,Huesca,0
21/04/2019,Betis,1,Valencia,2
21/04/2019,Getafe,3,Sevilla,0
21/04/2019,Levante,2,Espanol,2
21/04/2019,Real Madrid,3,Ath Bilbao,0
21/04/2019,Villarreal,2,Leganes,1
23/04/2019,Alaves,0,Barcelona,2
23/04/2019,Huesca,2,Eibar,0
23/04/2019,Valladolid,1,Girona,0
24/04/2019,Ath Madrid,3,Valencia,2
24/04/2019,Espanol,1,Celta,1
24/04/2019,Leganes,0,Ath Bilbao,1
24/04/2019,Levante,4,Betis,0
25/04/2019,Getafe,0,Real Madrid,0
25/04/2019,Sevilla,5,Vallecano,0
25/04/2019,Sociedad,0,Villarreal,1
27/04/2019,Ath Bilbao,1,Alaves,1
27/04/2019,Ath Madrid,1,Valladolid,0
27/04/2019,Barcelona,1,Levante,0
27/04/2019,Leganes,0,Celta,0
28/04/2019,Girona,1,Sevilla,0
28/04/2019,Sociedad,2,Getafe,1
28/04/2019,Valencia,0,Eibar,1
28/04/2019,Vallecano,1,Real Madrid,0
28/04/2019,Villarreal,1,Huesca,1
29/04/2019,Betis,1,Espanol,1
03/05/2019,Sevilla,0,Leganes,3
04/05/2019,Alaves,0,Sociedad,1
04/05/2019,Celta,2,Barcelona,0
04/05/2019,Espanol,3,Ath Madrid,0
04/05/2019,Levante,4,Vallecano,1
05/05/2019,Eibar,1,Betis,0
05/05/2019,Getafe,2,Girona,0
05/05/2019,Huesca,2,Valencia,6
05/05/2019,Real Madrid,3,Villarreal,2
05/05/2019,Valladolid,1,Ath Bilbao,0
12/05/2019,Ath Bilbao,3,Celta,1
12/05/2019,Ath Madrid,1,Sevilla,1
12/05/2019,Barcelona,2,Getafe,0
12/05/2019,Betis,2,Huesca,1
12/05/2019,Girona,1,Levante,2
12/05/2019,Leganes,0,Espanol,2
12/05/2019,Sociedad,3,Real Madrid,1
12/05/2019,Valencia,3,Alaves,1
12/05/2019,Vallecano,1,Valladolid,2
12/05/2019,Villarreal,1,Eibar,0
18/05/2019,Alaves,2,Girona,1
18/05/2019,Celta,2,Vallecano,2
18/05/2019,Espanol,2,Sociedad,0
18/05/2019,Getafe,2,Villarreal,2
18/05/2019,Huesca,2,Leganes,1
18/05/2019,Levante,2,Ath Madrid,2
18/05/2019,Sevilla,2,Ath Bilbao,0
18/05/2019,Valladolid,0,Valencia,2
19/05/2019,Eibar,2,Barcelona,2
19/05/2019,Real Madrid,0,Betis,2
16/08/2019,Ath Bilbao,1,Barcelona,0
17/08/2019,Celta,1,Real Madrid,3
17/08/2019,Valencia,1,Sociedad,1
17/08/2019,Mallorca,2,Eibar,1
17/08/2019,Leganes,0,Osasuna,1
17/08/2019,Villarreal,4,Granada,4
18/08/2019,Alaves,1,Levante,0
18/08/2019,Espanol,0,Sevilla,2
18/08/2019,Betis,1,Valladolid,2
18/08/2019,Ath Madrid,1,Getafe,0
23/08/2019,Granada,0,Sevilla,1
23/08/2019,Levante,2,Villarreal,1
24/08/2019,Osasuna,0,Eibar,0
24/08/2019,Real Madrid,1,Valladolid,1
24/08/2019,Celta,1,Valencia,0
24/08/2019,Getafe,1,Ath Bilbao,1
25/08/2019,Alaves,0,Espanol,0
25/08/2019,Mallorca,0,Sociedad,1
25/08/2019,Leganes,0,Ath Madrid,1
25/08/2019,Barcelona,5,Betis,2
30/08/2019,Sevilla,1,Celta,1
30/08/2019,Ath Bilbao,2,Sociedad,0
31/08/2019,Osasuna,2,Barcelona,2
31/08/2019,Getafe,1,Alaves,1
31/08/2019,Levante,2,Valladolid,0
31/08/2019,Betis,2,Leganes,1
01/09/2019,Valencia,2,Mallorca,0
01/09/2019,Ath Madrid,3,Eibar,2
01/09/2019,Espanol,0,Granada,3
01/09/2019,Villarreal,2,Real Madrid,2
13/09/2019,Mallorca,0,Ath Bilbao,0
14/09/2019,Real Madrid,3,Levante,2
14/09/2019,Leganes,0,Villarreal,3
14/09/2019,Sociedad,2,Ath Madrid,0
14/09/2019,Barcelona,5,Valencia,2
15/09/2019,Eibar,1,Espanol,2
15/09/2019,Alaves,0,Sevilla,1
15/09/2019,Celta,0,Granada,2
15/09/2019,Valladolid,1,Osasuna,1
15/09/2019,Betis,1,Getafe,1
20/09/2019,Osasuna,0,Betis,0
21/09/2019,Villarreal,2,Valladolid,0
21/09/2019,Levante,0,Eibar,0
21/09/2019,Ath Madrid,0,Celta,0
21/09/2019,Granada,2,Barcelona,0
22/09/2019,Getafe,4,Mallorca,2
22/09/2019,Espanol,1,Sociedad,3
22/09/2019,Valencia,1,Leganes,1
22/09/2019,Ath Bilbao,2,Alaves,0
22/09/2019,Sevilla,0,Real Madrid,1
24/09/2019,Valladolid,1,Granada,1
24/09/2019,Betis,3,Levante,1
24/09/2019,Barcelona,2,Villarreal,1
25/09/2019,Leganes,1,Ath Bilbao,1
25/09/2019,Mallorca,0,Ath Madrid,2
25/09/2019,Valencia,3,Getafe,3
25/09/2019,Real Madrid,2,Osasuna,0
26/09/2019,Eibar,3,Sevilla,2
26/09/2019,Celta,1,Espanol,1
26/09/2019,Sociedad,3,Alaves,0
27/09/2019,Villarreal,5,Betis,1
28/09/2019,Ath Bilbao,0,Valencia,1
28/09/2019,Getafe,0,Barcelona,2
28/09/2019,Granada,1,Leganes,0
28/09/2019,Ath Madrid,0,Real Madrid,0
29/09/2019,Espanol,0,Valladolid,2
29/09/2019,Eibar,2,Celta,0
29/09/2019,Alaves,2,Mallorca,0
29/09/2019,Levante,1,Osasuna,1
29/09/2019,Sevilla,3,Sociedad,2
04/10/2019,Betis,1,Eibar,1
05/10/2019,Leganes,1,Levante,2
05/10/2019,Real Madrid,4,Granada,2
05/10/2019,Valencia,2,Alaves,1
05/10/2019,Osasuna,2,Villarreal,1
06/10/2019,Mallorca,2,Espanol,0
06/10/2019,Celta,1,Ath Bilbao,0
06/10/2019,Valladolid,0,Ath Madrid,0
06/10/2019,Sociedad,1,Getafe,2
06/10/2019,Barcelona,4,Sevilla,0
18/10/2019,Granada,1,Osasuna,0
19/10/2019,Eibar,0,Barcelona,3
19/10/2019,Ath Madrid,1,Valencia,1
19/10/2019,Getafe,2,Leganes,0
19/10/2019,Mallorca,1,Real Madrid,0
20/10/2019,Alaves,2,Celta,0
20/10/2019,Sociedad,3,Betis,1
20/10/2019,Espanol,0,Villarreal,1
20/10/2019,Ath Bilbao,1,Valladolid,1
20/10/2019,Sevilla,1,Levante,0
25/10/2019,Villarreal,4,Alaves,1
26/10/2019,Leganes,1,Mallorca,0
26/10/2019,Valladolid,2,Eibar,0
26/10/2019,Ath Madrid,2,Ath Bilbao,0
27/10/2019,Celta,0,Sociedad,1
27/10/2019,Granada,1,Betis,0
27/10/2019,Levante,0,Espanol,1
27/10/2019,Sevilla,2,Getafe,0
27/10/2019,Osasuna,3,Valencia,1
29/10/2019,Alaves,1,Ath Madrid,1
29/10/2019,Barcelona,5,Valladolid,1
30/10/2019,Sociedad,1,Levante,2
30/10/2019,Valencia,1,Sevilla,1
30/10/2019,Ath Bilbao,3,Espanol,0
30/10/2019,Betis,2,Celta,1
30/10/2019,Real Madrid,5,Leganes,0
31/10/2019,Eibar,2,Villarreal,1
31/10/2019,Mallorca,2,Osasuna,2
31/10/2019,Getafe,3,Granada,1
02/11/2019,Espanol,1,Valencia,2
02/11/2019,Levante,3,Barcelona,1
02/11/2019,Sevilla,1,Ath Madrid,1
02/11/2019,Real Madrid,0,Betis,0
03/11/2019,Valladolid,3,Mallorca,0
03/11/2019,Villarreal,0,Ath Bilbao,0
03/11/2019,Osasuna,4,Alaves,2
03/11/2019,Celta,0,Getafe,1
03/11/2019,Leganes,1,Eibar,2
03/11/2019,Granada,1,Sociedad,2
08/11/2019,Sociedad,1,Leganes,1
09/11/2019,Alaves,3,Valladolid,0
09/11/2019,Valencia,2,Granada,0
09/11/2019,Eibar,0,Real Madrid,4
09/11/2019,Barcelona,4,Celta,1
10/11/2019,Mallorca,3,Villarreal,1
10/11/2019,Ath Bilbao,2,Levante,1
10/11/2019,Ath Madrid,3,Espanol,1
10/11/2019,Getafe,0,Osasuna,0
10/11/2019,Betis,1,Sevilla,2
22/11/2019,Levante,2,Mallorca,1
23/11/2019,Leganes,1,Barcelona,2
23/11/2019,Betis,2,Valencia,1
23/11/2019,Granada,1,Ath Madrid,1
23/11/2019,Real Madrid,3,Sociedad,1
24/11/2019,Espanol,1,Getafe,1
24/11/2019,Osasuna,1,Ath Bilbao,2
24/11/2019,Eibar,0,Alaves,2
24/11/2019,Villarreal,1,Celta,3
24/11/2019,Valladolid,0,Sevilla,1
29/11/2019,Celta,0,Valladolid,0
30/11/2019,Alaves,1,Real Madrid,2
30/11/2019,Sociedad,4,Eibar,1
30/11/2019,Mallorca,1,Betis,2
30/11/2019,Valencia,2,Villarreal,1
01/12/2019,Sevilla,1,Leganes,0
01/12/2019,Ath Bilbao,2,Granada,0
01/12/2019,Espanol,2,Osasuna,4
01/12/2019,Getafe,4,Levante,0
01/12/2019,Ath Madrid,0,Barcelona,1
06/12/2019,Villarreal,0,Ath Madrid,0
07/12/2019,Real Madrid,2,Espanol,0
07/12/2019,Granada,3,Alaves,0
07/12/2019,Levante,2,Valencia,4
07/12/2019,Barcelona,5,Mallorca,2
08/12/2019,Eibar,0,Getafe,1
08/12/2019,Betis,3,Ath Bilbao,2
08/12/2019,Valladolid,0,Sociedad,0
08/12/2019,Leganes,3,Celta,2
08/12/2019,Osasuna,1,Sevilla,1
13/12/2019,Alaves,1,Leganes,1
14/12/2019,Granada,1,Levante,2
14/12/2019,Sociedad,2,Barcelona,2
14/12/2019,Ath Bilbao,0,Eibar,0
14/12/2019,Ath Madrid,2,Osasuna,0
15/12/2019,Getafe,2,Valladolid,0
15/12/2019,Celta,2,Mallorca,2
15/12/2019,Espanol,2,Betis,2
15/12/2019,Sevilla,1,Villarreal,2
15/12/2019,Valencia,1,Real Madrid,1
18/12/2019,Barcelona,0,Real Madrid,0
20/12/2019,Eibar,3,Granada,0
21/12/2019,Mallorca,0,Sevilla,2
21/12/2019,Barcelona,4,Alaves,1
21/12/2019,Villarreal,1,Getafe,0
21/12/2019,Valladolid,1,Valencia,1
22/12/2019,Leganes,2,Espanol,0
22/12/2019,Osasuna,3,Sociedad,4
22/12/2019,Betis,1,Ath Madrid,2
22/12/2019,Levante,3,Celta,1
22/12/2019,Real Madrid,0,Ath Bilbao,0
03/01/2020,Valladolid,2,Leganes,2
03/01/2020,Sevilla,1,Ath Bilbao,1
04/01/2020,Valencia,1,Eibar,0
04/01/2020,Getafe,0,Real Madrid,3
04/01/2020,Ath Madrid,2,Levante,1
04/01/2020,Espanol,2,Barcelona,2
05/01/2020,Granada,1,Mallorca,0
05/01/2020,Sociedad,1,Villarreal,2
05/01/2020,Alaves,1,Betis,1
05/01/2020,Celta,1,Osasuna,1
17/01/2020,Leganes,0,Getafe,3
18/01/2020,Levante,0,Alaves,1
18/01/2020,Real Madrid,2,Sevilla,1
18/01/2020,Osasuna,0,Valladolid,0
18/01/2020,Eibar,2,Ath Madrid,0
19/01/2020,Mallorca,4,Valencia,1
19/01/2020,Betis,3,Sociedad,0
19/01/2020,Villarreal,1,Espanol,2
19/01/2020,Ath Bilbao,1,Celta,1
19/01/2020,Barcelona,1,Granada,0
24/01/2020,Osasuna,2,Levante,0
25/01/2020,Espanol,1,Ath Bilbao,1
25/01/2020,Valencia,2,Barcelona,0
25/01/2020,Alaves,1,Villarreal,2
25/01/2020,Sevilla,2,Granada,0
26/01/2020,Ath Madrid,0,Leganes,0
26/01/2020,Celta,0,Eibar,0
26/01/2020,Getafe,1,Betis,0
26/01/2020,Sociedad,3,Mallorca,0
26/01/2020,Valladolid,0,Real Madrid,1
01/02/2020,Granada,2,Espanol,1
01/02/2020,Real Madrid,1,Ath Madrid,0
01/02/2020,Mallorca,0,Valladolid,1
01/02/2020,Valencia,1,Celta,0
02/02/2020,Leganes,2,Sociedad,1
02/02/2020,Eibar,1,Betis,1
02/02/2020,Ath Bilbao,0,Getafe,2
02/02/2020,Sevilla,1,Alaves,1
02/02/2020,Villarreal,3,Osasuna,1
02/02/2020,Barcelona,2,Levante,1
07/02/2020,Alaves,2,Eibar,1
08/02/2020,Levante,2,Leganes,0
08/02/2020,Getafe,3,Valencia,0
08/02/2020,Valladolid,1,Villarreal,1
08/02/2020,Ath Madrid,1,Granada,0
09/02/2020,Espanol,1,Mallorca,0
09/02/2020,Sociedad,2,Ath Bilbao,1
09/02/2020,Osasuna,1,Real Madrid,4
09/02/2020,Celta,2,Sevilla,1
09/02/2020,Betis,2,Barcelona,3
14/02/2020,Valencia,2,Ath Madrid,2
15/02/2020,Mallorca,1,Alaves,0
15/02/2020,Barcelona,2,Getafe,1
15/02/2020,Villarreal,2,Levante,1
15/02/2020,Granada,2,Valladolid,1
16/02/2020,Sevilla,2,Espanol,2
16/02/2020,Leganes,0,Betis,0
16/02/2020,Ath Bilbao,0,Osasuna,1
16/02/2020,Real Madrid,2,Celta,2
21/02/2020,Betis,3,Mallorca,3
22/02/2020,Celta,1,Leganes,0
22/02/2020,Barcelona,5,Eibar,0
22/02/2020,Sociedad,3,Valencia,0
22/02/2020,Levante,1,Real Madrid,0
23/02/2020,Osasuna,0,Granada,3
23/02/2020,Alaves,2,Ath Bilbao,1
23/02/2020,Valladolid,2,Espanol,1
23/02/2020,Getafe,0,Sevilla,3
23/02/2020,Ath Madrid,3,Villarreal,1
28/02/2020,Sociedad,1,Valladolid,0
29/02/2020,Eibar,3,Levante,0
29/02/2020,Valencia,2,Betis,1
29/02/2020,Leganes,1,Alaves,1
29/02/2020,Granada,0,Celta,0
01/03/2020,Sevilla,3,Osasuna,2
01/03/2020,Ath Bilbao,1,Villarreal,0
01/03/2020,Espanol,1,Ath Madrid,1
01/03/2020,Mallorca,0,Getafe,1
01/03/2020,Real Madrid,2,Barcelona,0
06/03/2020,Alaves,1,Valencia,1
07/03/2020,Eibar,1,Mallorca,2
07/03/2020,Ath Madrid,2,Sevilla,2
07/03/2020,Barcelona,1,Sociedad,0
07/03/2020,Getafe,0,Celta,0
08/03/2020,Osasuna,1,Espanol,0
08/03/2020,Valladolid,1,Ath Bilbao,4
08/03/2020,Levante,1,Granada,1
08/03/2020,Villarreal,1,Leganes,2
08/03/2020,Betis,2,Real Madrid,1
10/03/2020,Eibar,1,Sociedad,2
11/06/2020,Sevilla,2,Betis,0
12/06/2020,Granada,2,Getafe,1
12/06/2020,Valencia,1,Levante,1
13/06/2020,Espanol,2,Alaves,0
13/06/2020,Celta,0,Villarreal,1
13/06/2020,Leganes,1,Valladolid,2
13/06/2020,Mallorca,0,Barcelona,4
14/06/2020,Ath Bilbao,1,Ath Madrid,1
14/06/2020,Real Madrid,3,Eibar,1
14/06/2020,Sociedad,1,Osasuna,1
15/06/2020,Levante,1,Sevilla,1
15/06/2020,Betis,2,Granada,2
16/06/2020,Getafe,0,Espanol,0
16/06/2020,Villarreal,1,Mallorca,0
16/06/2020,Barcelona,2,Leganes,0
17/06/2020,Eibar,2,Ath Bilbao,2
17/06/2020,Valladolid,0,Celta,0
17/06/2020,Osasuna,0,Ath Madrid,5
18/06/2020,Alaves,2,Sociedad,0
18/06/2020,Real Madrid,3,Valencia,0
19/06/2020,Granada,0,Villarreal,1
19/06/2020,Mallorca,1,Leganes,1
19/06/2020,Sevilla,0,Barcelona,0
20/06/2020,Espanol,1,Levante,3
20/06/2020,Ath Bilbao,1,Betis,0
20/06/2020,Getafe,1,Eibar,1
20/06/2020,Ath Madrid,1,Valladolid,0
21/06/2020,Celta,6,Alaves,0
21/06/2020,Valencia,2,Osasuna,0
21/06/2020,Sociedad,1,Real Madrid,2
22/06/2020,Villarreal,2,Sevilla,2
22/06/2020,Leganes,0,Granada,0
23/06/2020,Levante,0,Ath Madrid,1
23/06/2020,Valladolid,1,Getafe,1
23/06/2020,Barcelona,1,Ath Bilbao,0
24/06/2020,Alaves,0,Osasuna,1
24/06/2020,Sociedad,0,Celta,1
24/06/2020,Real Madrid,2,Mallorca,0
25/06/2020,Eibar,1,Valencia,0
25/06/2020,Betis,1,Espanol,0
26/06/2020,Sevilla,1,Valladolid,1
27/06/2020,Ath Bilbao,3,Mallorca,1
27/06/2020,Celta,2,Barcelona,2
27/06/2020,Osasuna,2,Leganes,1
27/06/2020,Ath Madrid,2,Alaves,1
28/06/2020,Levante,4,Betis,2
28/06/2020,Villarreal,2,Valencia,0
28/06/2020,Granada,1,Eibar,2
28/06/2020,Espanol,0,Real Madrid,1
29/06/2020,Getafe,2,Sociedad,1
30/06/2020,Mallorca,5,Celta,1
30/06/2020,Leganes,0,Sevilla,3
30/06/2020,Barcelona,2,Ath Madrid,2
01/07/2020,Alaves,0,Granada,2
01/07/2020,Valencia,0,Ath Bilbao,2
01/07/2020,Betis,0,Villarreal,2
01/07/2020,Valladolid,0,Levante,0
02/07/2020,Eibar,0,Osasuna,2
02/07/2020,Sociedad,2,Espanol,1
02/07/2020,Real Madrid,1,Getafe,0
03/07/2020,Ath Madrid,3,Mallorca,0
04/07/2020,Celta,1,Betis,1
04/07/2020,Valladolid,1,Alaves,0
04/07/2020,Granada,2,Valencia,2
05/07/2020,Ath Bilbao,0,Real Madrid,1
05/07/2020,Espanol,0,Leganes,1
05/07/2020,Osasuna,0,Getafe,0
05/07/2020,Villarreal,1,Barcelona,4
06/07/2020,Levante,1,Sociedad,1
06/07/2020,Sevilla,1,Eibar,0
07/07/2020,Valencia,2,Valladolid,1
07/07/2020,Celta,1,Ath Madrid,1
08/07/2020,Betis,3,Osasuna,0
08/07/2020,Getafe,1,Villarreal,3
08/07/2020,Barcelona,1,Espanol,0
09/07/2020,Eibar,0,Leganes,0
09/07/2020,Mallorca,2,Levante,0
09/07/2020,Ath Bilbao,1,Sevilla,2
10/07/2020,Sociedad,2,Granada,3
10/07/2020,Real Madrid,2,Alaves,0
11/07/2020,Osasuna,2,Celta,1
11/07/2020,Valladolid,0,Barcelona,1
11/07/2020,Ath Madrid,1,Betis,0
12/07/2020,Espanol,0,Eibar,2
12/07/2020,Levante,1,Ath Bilbao,2
12/07/2020,Leganes,1,Valencia,0
12/07/2020,Sevilla,2,Mallorca,0
13/07/2020,Alaves,0,Getafe,0
13/07/2020,Villarreal,1,Sociedad,2
13/07/2020,Granada,1,Real Madrid,2
16/07/2020,Eibar,3,Valladolid,1
16/07/2020,Ath Bilbao,0,Leganes,2
16/07/2020,Barcelona,1,Osasuna,2
16/07/2020,Betis,1,Alaves,2
16/07/2020,Celta,2,Levante,3
16/07/2020,Getafe,0,Ath Madrid,2
16/07/2020,Mallorca,1,Granada,2
16/07/2020,Real Madrid,2,Villarreal,1
16/07/2020,Sociedad,0,Sevilla,0
16/07/2020,Valencia,1,Espanol,0
19/07/2020,Alaves,0,Barcelona,5
19/07/2020,Valladolid,2,Betis,0
19/07/2020,Villarreal,4,Eibar,0
19/07/2020,Ath Madrid,1,Sociedad,1
19/07/2020,Espanol,0,Celta,0
19/07/2020,Granada,4,Ath Bilbao,0
19/07/2020,Leganes,2,Real Madrid,2
19/07/2020,Levante,1,Getafe,0
19/07/2020,Osasuna,2,Mallorca,2
19/07/2020,Sevilla,1,Valencia,0
